Radius,Central_x,Central_y,width,height,Site,lefttop_x,lefttop_y,rightbottom_x,rightbottom_y,MIC_name
220,344,227,441,447,O,124,4,565,451,-
215,344,227,431,437,O,129,9,560,446,-
99,312,302,199,190,MIC,213,212,412,402,ER5
94,313,301,189,180,MIC,218,217,407,397,ER5
36,473,208,73,73,MIC,438,172,511,245,CT10
31,473,208,63,63,MIC,443,177,506,240,CT10
73,342,125,146,146,MIC,270,54,416,200,CF30
68,342,124,136,136,MIC,275,59,411,195,CF30
