Central,MIC_name,lefttop_x,lefttop_y,rightbottom_x,rightbottom_y
"(280, 981)",CT10,243.0,943.0,318.0,1019.0
"(560, 1057)",CF30,522.0,1019.0,599.0,1096.0
"(497, 706)",ER5,457.0,665.0,538.0,748.0
