Radius,Central_x,Central_y,width,height,Site,lefttop_x,lefttop_y,rightbottom_x,rightbottom_y
42,161,433,85,90,I,127,390,212,480
18,133,375,36,27,I,116,363,152,390
51,189,13,102,38,I,152,0,254,38
